시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션누적거래량,옵션체결수량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가,1초체결량,체결방향,매수주도체결량,매도주도체결량
2026-03-26 11:49:20,스냅샷,B0164830,,,,,22.78,42.1029,0.4989,0.6418,1.0447,0.1307,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114919,810.59,28.11,3.35,8,829.60,0,NONE,0,0
2026-03-26 11:49:21,스냅샷,B0164830,,,,,22.86,42.1978,0.4991,0.6422,1.0454,0.1310,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114920,810.78,27.92,3.33,2,829.60,0,NONE,0,0
2026-03-26 11:49:22,스냅샷,B0164830,,,,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114921,810.65,28.05,3.34,1,829.60,0,NONE,0,0
2026-03-26 11:49:23,스냅샷,B0164830,,,,,22.81,42.1429,0.4990,0.6420,1.0450,0.1308,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114922,810.67,28.03,3.34,1,829.60,0,NONE,0,0
2026-03-26 11:49:24,스냅샷,B0164830,,,,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114923,810.65,28.05,3.34,1,829.60,0,NONE,0,0
2026-03-26 11:49:25,스냅샷,B0164830,,,65,,22.74,42.0580,0.4989,0.6416,1.0443,0.1305,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114924,810.50,28.20,3.36,2,829.60,65,NONE,0,0
2026-03-26 11:49:26,스냅샷,B0164830,,,65,,22.87,42.2077,0.4991,0.6423,1.0455,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114925,810.80,27.90,3.33,0,829.60,0,NONE,0,0
2026-03-26 11:49:27,스냅샷,B0164830,,,65,,22.80,42.1279,0.4990,0.6419,1.0449,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114926,810.64,28.06,3.35,3,829.60,0,NONE,0,0
2026-03-26 11:49:28,스냅샷,B0164830,,,65,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114927,810.65,28.05,3.34,4,829.60,0,NONE,0,0
2026-03-26 11:49:29,스냅샷,B0164830,,,65,,22.78,42.1079,0.4989,0.6418,1.0447,0.1307,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114928,810.60,28.10,3.35,0,829.60,0,NONE,0,0
2026-03-26 11:49:30,스냅샷,B0164830,,,65,,22.75,42.0630,0.4989,0.6416,1.0443,0.1306,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114929,810.51,28.19,3.36,2,829.60,0,NONE,0,0
2026-03-26 11:49:31,스냅샷,B0164830,,,65,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114930,810.65,28.05,3.34,4,829.60,0,NONE,0,0
2026-03-26 11:49:32,스냅샷,B0164830,,,65,,22.88,42.2177,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114931,810.82,27.88,3.32,2,829.60,0,NONE,0,0
2026-03-26 11:49:33,스냅샷,B0164830,,,65,,22.74,42.0580,0.4989,0.6416,1.0443,0.1305,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114932,810.50,28.20,3.36,2,829.60,0,NONE,0,0
2026-03-26 11:49:34,스냅샷,B0164830,,,65,,22.83,42.1578,0.4990,0.6420,1.0451,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114933,810.70,28.00,3.34,4,829.60,0,NONE,0,0
2026-03-26 11:49:35,스냅샷,B0164830,,,65,,22.88,42.2177,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114934,810.82,27.88,3.32,2,829.60,0,NONE,0,0
2026-03-26 11:49:36,스냅샷,B0164830,,,65,,22.83,42.1578,0.4990,0.6420,1.0451,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114935,810.70,28.00,3.34,2,829.60,0,NONE,0,0
2026-03-26 11:49:37,스냅샷,B0164830,,,65,,22.83,42.1578,0.4990,0.6420,1.0451,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114936,810.70,28.00,3.34,1,829.60,0,NONE,0,0
2026-03-26 11:49:38,스냅샷,B0164830,,,65,,22.89,42.2377,0.4991,0.6424,1.0458,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114937,810.86,27.84,3.32,2,829.60,0,NONE,0,0
2026-03-26 11:49:39,스냅샷,B0164830,,,65,,22.79,42.1129,0.4989,0.6418,1.0447,0.1307,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114938,810.61,28.09,3.35,2,829.60,0,NONE,0,0
2026-03-26 11:49:40,스냅샷,B0164830,,,65,,22.89,42.2327,0.4991,0.6424,1.0457,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114939,810.85,27.85,3.32,3,829.60,0,NONE,0,0
2026-03-26 11:49:41,스냅샷,B0164830,,,65,,22.82,42.1479,0.4990,0.6420,1.0450,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114940,810.68,28.02,3.34,1,829.60,0,NONE,0,0
2026-03-26 11:49:42,스냅샷,B0164830,,,65,,22.82,42.1528,0.4990,0.6420,1.0451,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114941,810.69,28.01,3.34,2,829.60,0,NONE,0,0
2026-03-26 11:49:43,스냅샷,B0164830,,,65,,22.87,42.2127,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114942,810.81,27.89,3.33,1,829.60,0,NONE,0,0
2026-03-26 11:49:44,스냅샷,B0164830,,,65,,22.82,42.1528,0.4990,0.6420,1.0451,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114943,810.69,28.01,3.34,5,829.60,0,NONE,0,0
